,Date,Ticker,Sector,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_tot,Open,High,Low,Close,Volume
177,2019-11-12,MSFT,Technology,0.02167,0.02167,0.02167,0.02167,139.971,141.206,139.761,140.727,18641600.0
178,2019-11-13,MSFT,Technology,0.06433,0.06433,0.06433,0.06433,140.411,141.100,139.971,140.957,16919200.0
179,2019-11-14,MSFT,Technology,0.0245,0.0245,0.0245,0.0245,140.679,142.009,140.660,141.674,19729800.0
180,2019-11-15,MSFT,Technology,0.,0.,0.,0.,142.507,143.521,141.875,143.502,23485700.0
181,2019-11-18,MSFT,Technology,0.,0.,0.,0.,143.598,144.057,142.555,143.856,21534000.0
182,2019-11-19,MSFT,Technology,0.,0.,0.,0.,144.373,144.803,143.722,143.904,23935700.0
183,2019-11-20,MSFT,Technology,0.,0.,0.,0.,144.317,144.826,142.541,143.654,25696800.0
184,2019-11-21,MSFT,Technology,0.02363,0.02363,0.02363,0.02363,143.443,143.827,142.579,143.52,18576100.0
185,2019-11-22,MSFT,Technology,0.0128,0.0128,0.0128,0.0128,144.086,144.307,142.886,143.625,15901800.0
186,2019-11-25,MSFT,Technology,0.0975,0.0975,0.0975,0.0975,144.019,145.315,143.942,145.200,22420900.0
187,2019-11-27,MSFT,Technology,0.,0.,0.,0.,146.256,146.419,145.479,146.247,15184400.0
188,2019-11-29,MSFT,Technology,0.,0.,0.,0.,146.035,146.227,145.248,145.344,11977300.0
189,2019-12-02,MSFT,Technology,0.152,0.152,0.152,0.152,145.757,145.776,142.406,143.587,27418400.0
190,2019-12-03,MSFT,Technology,0.01567,0.01567,0.01567,0.01567,141.609,143.472,140.803,143.357,24066000.0
191,2019-12-04,MSFT,Technology,0.054,0.054,0.054,0.054,144.154,144.192,143.251,143.875,17574700.0
192,2019-12-05,MSFT,Technology,0.,0.,0.,0.,144.067,144.326,143.52,143.952,17869100.0
193,2019-12-09,MSFT,Technology,0.0595,0.0595,0.0595,0.0595,145.046,146.141,144.893,145.325,16687400.0
194,2019-12-10,MSFT,Technology,0.147,0.147,0.147,0.147,145.258,145.834,144.749,145.104,16476100.0
195,2019-12-11,MSFT,Technology,0.051,0.051,0.051,0.051,145.498,145.815,144.336,145.651,18856600.0
196,2019-12-12,MSFT,Technology,0.02,0.02,0.02,0.02,145.603,147.322,144.998,147.13,24612100.0
197,2019-12-13,MSFT,Technology,0.025,0.025,0.025,0.025,146.899,148.714,146.736,148.368,23845400.0
198,2019-12-15,MSFT,Technology,0.,0.,0.,0.,146.899,148.714,146.736,148.368,23845400.0
199,2019-12-16,MSFT,Technology,0.087,0.087,0.087,0.087,148.925,149.684,148.647,149.329,24144200.0
200,2019-12-17,MSFT,Technology,0.01833,0.01833,0.01833,0.01833,149.252,149.501,148.292,148.522,25425600.0
201,2019-12-18,MSFT,Technology,0.,0.,0.,0.,148.148,149.281,148.032,148.215,24129200.0
202,2019-12-19,MSFT,Technology,0.02571,0.02571,0.02571,0.02571,147.86,149.559,147.62,149.501,24958900.0
203,2019-12-20,MSFT,Technology,0.,0.,0.,0.,151.076,152.171,150.058,151.134,53477500.0
204,2019-12-23,MSFT,Technology,0.,0.,0.,0.,151.815,151.815,150.999,151.134,17718200.0
205,2019-12-25,MSFT,Technology,0.,0.,0.,0.,151.815,151.815,150.999,151.134,17718200.0
206,2019-12-26,MSFT,Technology,0.,0.,0.,0.,151.278,152.401,151.124,152.343,14520600.0
207,2019-12-27,MSFT,Technology,0.016,0.016,0.016,0.016,153.092,153.188,151.911,152.622,18412800.0
208,2019-12-29,MSFT,Technology,0.,0.,0.,0.,153.092,153.188,151.911,152.622,18412800.0
209,2019-12-30,MSFT,Technology,0.0785,0.0785,0.0785,0.0785,152.651,152.679,150.481,151.306,16348400.0
210,2019-12-31,MSFT,Technology,0.,0.,0.,0.,150.519,151.479,150.212,151.412,18369400.0
211,2020-01-02,MSFT,Technology,0.0505,0.0505,0.0505,0.0505,152.449,154.321,152.017,154.216,22622100.0
212,2020-01-03,MSFT,Technology,0.,0.,0.,0.,152.007,153.572,151.758,152.295,21116200.0
213,2020-01-04,MSFT,Technology,0.,0.,0.,0.,152.007,153.572,151.758,152.295,21116200.0
214,2020-01-06,MSFT,Technology,0.,0.,0.,0.,150.817,152.756,150.27,152.689,20813700.0
215,2020-01-07,MSFT,Technology,0.,0.,0.,0.,152.968,153.304,151.047,151.297,21634100.0
216,2020-01-08,MSFT,Technology,0.,0.,0.,0.,152.593,154.388,151.652,153.707,27746500.0
217,2020-01-09,MSFT,Technology,0.06,0.06,0.06,0.06,155.387,155.752,154.609,155.627,21385000.0
218,2020-01-10,MSFT,Technology,0.,0.,0.,0.,156.328,156.712,154.753,154.907,20725900.0
219,2020-01-11,MSFT,Technology,0.0495,0.0495,0.0495,0.0495,156.328,156.712,154.753,154.907,20725900.0
220,2020-01-13,MSFT,Technology,0.06167,0.06167,0.06167,0.06167,155.310,156.798,154.830,156.77,21626500.0
221,2020-01-14,MSFT,Technology,0.09979,0.09979,0.09979,0.09979,156.875,157.077,155.272,155.665,23477400.0
222,2020-01-15,MSFT,Technology,0.0255,0.0255,0.0255,0.0255,156.136,157.403,156.088,156.674,21417900.0
223,2020-01-16,MSFT,Technology,0.10627,0.10627,0.10627,0.10627,157.797,159.612,157.49,159.544,23865400.0
224,2020-01-17,MSFT,Technology,0.05867,0.05867,0.05867,0.05867,160.745,160.793,158.834,160.437,34371700.0
225,2020-01-20,MSFT,Technology,0.0745,0.0745,0.0745,0.0745,160.745,160.793,158.834,160.437,34371700.0
226,2020-01-21,MSFT,Technology,0.,0.,0.,0.,160.034,161.484,159.794,159.861,29517200.0
227,2020-01-22,MSFT,Technology,0.03044,0.03044,0.03044,0.03044,160.725,160.812,159.074,159.093,24138800.0
228,2020-01-23,MSFT,Technology,0.,0.,0.,0.,159.564,160.149,158.680,160.072,19680800.0
229,2020-01-24,MSFT,Technology,0.0975,0.0975,0.0975,0.0975,160.831,160.850,157.893,158.459,24918100.0
230,2020-01-25,MSFT,Technology,0.,0.,0.,0.,160.831,160.850,157.893,158.459,24918100.0
231,2020-01-26,MSFT,Technology,0.099,0.099,0.099,0.099,160.831,160.850,157.893,158.459,24918100.0
232,2020-01-27,MSFT,Technology,0.03875,0.03875,0.03875,0.03875,154.725,156.866,153.812,155.81,32078100.0
233,2020-01-28,MSFT,Technology,0.0176,0.0176,0.0176,0.0176,157.25,159.151,156.568,158.863,24899900.0
